epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,4612.32,1.55051,1.05924,1.5904,0.88343,1,0.995,0.56416,1.3132,1.06887,1.33468,0.000569375,0.000569375,0.000569375
112,4653.55,1.54824,1.07552,1.55348,0.9014,1,0.995,0.5485,1.3241,1.04655,1.387,0.000563187,0.000563187,0.000563187
113,4694.57,1.66953,1.10134,1.61494,0.89662,1,0.995,0.54035,1.27051,1.03387,1.33509,0.000557,0.000557,0.000557
114,4736.09,1.57373,1.08419,1.63141,0.885,0.98957,0.995,0.55978,1.24136,1.03965,1.25701,0.000550813,0.000550813,0.000550813
115,4777.33,1.6356,1.11275,1.60481,0.88992,0.99518,0.995,0.57384,1.23238,1.06268,1.24692,0.000544625,0.000544625,0.000544625
116,4818.27,1.6079,1.11561,1.60635,0.87813,0.98214,0.995,0.54776,1.23487,1.06466,1.27738,0.000538438,0.000538438,0.000538438
117,4859.39,1.60349,1.01633,1.61747,0.86939,0.98641,0.995,0.5614,1.27448,1.08154,1.34822,0.00053225,0.00053225,0.00053225
118,4900.58,1.59359,1.03031,1.59023,0.85566,0.97712,0.995,0.56037,1.30517,1.12247,1.33793,0.000526063,0.000526063,0.000526063
119,4941.85,1.59291,1.09332,1.5357,0.85605,0.97849,0.995,0.53054,1.37217,1.14429,1.38599,0.000519875,0.000519875,0.000519875
120,4983.66,1.58806,1.08647,1.57868,0.87528,0.99433,0.995,0.49435,1.41139,1.18441,1.4146,0.000513688,0.000513688,0.000513688
121,5024.9,1.57011,1.08528,1.55183,0.85722,1,0.995,0.45655,1.41874,1.14299,1.38645,0.0005075,0.0005075,0.0005075
122,5066.06,1.54023,1.14429,1.60684,0.95429,0.88764,0.995,0.50315,1.32441,1.16863,1.31916,0.000501313,0.000501313,0.000501313
123,5107.29,1.51247,1.05107,1.58441,0.82911,1,0.995,0.534,1.30781,1.16928,1.29689,0.000495125,0.000495125,0.000495125
124,5148.36,1.42571,1.02709,1.4761,0.85203,1,0.995,0.52014,1.32789,1.18063,1.31889,0.000488938,0.000488938,0.000488938
125,5189.63,1.51188,1.08095,1.55818,0.8737,1,0.995,0.52395,1.34223,1.23076,1.34233,0.00048275,0.00048275,0.00048275
126,5231.5,1.56124,1.09335,1.609,0.93751,0.91596,0.995,0.46307,1.29483,1.17033,1.3705,0.000476562,0.000476562,0.000476562
127,5272.7,1.52018,1.12681,1.58103,0.93555,0.91135,0.995,0.53435,1.25025,1.13013,1.38363,0.000470375,0.000470375,0.000470375
128,5314.36,1.51692,1.12126,1.61069,0.96035,0.89465,0.995,0.58227,1.25588,1.14415,1.39406,0.000464188,0.000464188,0.000464188
129,5355.71,1.57195,1.08205,1.58019,0.9501,0.8895,0.995,0.54606,1.33073,1.1084,1.436,0.000458,0.000458,0.000458
130,5397.36,1.53388,1.03953,1.58143,0.93256,0.88409,0.995,0.47982,1.36347,1.09409,1.4131,0.000451813,0.000451813,0.000451813
131,5439.08,1.51721,1.04006,1.51533,0.82642,0.98059,0.995,0.48396,1.3187,1.1401,1.34781,0.000445625,0.000445625,0.000445625
132,5480.5,1.51354,1.04634,1.55976,0.9261,0.89015,0.995,0.54704,1.24568,1.11179,1.26579,0.000439437,0.000439437,0.000439437
133,5521.92,1.60722,1.07215,1.60558,0.92117,0.89959,0.995,0.51893,1.29615,1.08733,1.31018,0.00043325,0.00043325,0.00043325
134,5563.33,1.50134,1.06644,1.49133,0.92227,1,0.995,0.46721,1.44357,1.10563,1.42336,0.000427062,0.000427062,0.000427062
135,5605.64,1.57495,1.11699,1.57214,0.9152,1,0.995,0.44749,1.49147,1.1211,1.47507,0.000420875,0.000420875,0.000420875
136,5646.74,1.48142,1.0813,1.47999,0.93206,1,0.995,0.48675,1.42676,1.0713,1.4325,0.000414688,0.000414688,0.000414688
137,5688.07,1.5349,1.10745,1.56227,0.91999,1,0.995,0.48608,1.36603,1.04539,1.41621,0.0004085,0.0004085,0.0004085
138,5729.29,1.54715,1.0562,1.56796,0.89989,0.98996,0.995,0.47789,1.37314,1.05239,1.41933,0.000402312,0.000402312,0.000402312
139,5770.29,1.48081,1.00544,1.50733,0.87094,0.98889,0.995,0.50874,1.32536,1.05427,1.39159,0.000396125,0.000396125,0.000396125
140,5811.66,1.40076,1.03195,1.47395,0.86922,0.99499,0.995,0.50201,1.31729,1.05417,1.39257,0.000389938,0.000389938,0.000389938
141,5853.37,1.60561,1.08492,1.6247,0.86581,0.97578,0.995,0.52822,1.38006,1.06108,1.4907,0.00038375,0.00038375,0.00038375
142,5894.43,1.40756,1.06103,1.45323,0.86439,0.99906,0.995,0.50611,1.44146,1.10042,1.63412,0.000377563,0.000377563,0.000377563
143,5935.17,1.5426,1.06247,1.64481,0.87355,0.98201,0.995,0.46634,1.45735,1.13241,1.61109,0.000371375,0.000371375,0.000371375
144,5976.34,1.65009,1.12191,1.59211,0.89053,0.97696,0.995,0.48278,1.48405,1.09749,1.6057,0.000365188,0.000365188,0.000365188
145,6017.6,1.45331,1.05366,1.50643,0.91299,0.98935,0.995,0.44884,1.44981,1.10291,1.55463,0.000359,0.000359,0.000359
146,6059.05,1.37863,1.00912,1.40167,0.91611,0.97755,0.995,0.47594,1.42063,1.12564,1.52504,0.000352812,0.000352812,0.000352812
147,6100.32,1.40261,1.00454,1.48744,0.88477,0.97232,0.995,0.49783,1.43016,1.09945,1.55625,0.000346625,0.000346625,0.000346625
148,6141.12,1.59251,1.08513,1.61784,0.88995,0.97565,0.995,0.49682,1.40887,1.08267,1.51602,0.000340438,0.000340438,0.000340438
149,6181.97,1.48328,1.02072,1.47102,0.88635,0.99586,0.995,0.48764,1.3688,1.07275,1.45272,0.00033425,0.00033425,0.00033425
150,6223.31,1.4998,1.04542,1.54623,0.88102,1,0.995,0.50077,1.42502,1.06183,1.48394,0.000328063,0.000328063,0.000328063
151,6264.32,1.50448,1.05171,1.53528,0.90442,0.99955,0.995,0.46535,1.4764,1.09583,1.61096,0.000321875,0.000321875,0.000321875
152,6305.2,1.43084,1.08307,1.42809,0.81679,1,0.995,0.47275,1.5014,1.17189,1.66967,0.000315687,0.000315687,0.000315687
153,6346.22,1.48928,1.1369,1.52486,0.9172,0.99935,0.995,0.48209,1.44153,1.14448,1.53225,0.0003095,0.0003095,0.0003095
154,6387.54,1.48567,1.0068,1.541,0.89625,0.99707,0.995,0.49684,1.41121,1.12096,1.49286,0.000303313,0.000303313,0.000303313
155,6428.66,1.50203,1.06904,1.53158,0.7836,1,0.995,0.49444,1.39836,1.09749,1.50532,0.000297125,0.000297125,0.000297125
156,6469.64,1.46422,0.99945,1.5191,0.83194,0.96776,0.995,0.55407,1.39541,1.10145,1.52161,0.000290937,0.000290937,0.000290937
157,6510.6,1.50267,1.03213,1.50271,0.88179,0.96349,0.995,0.57489,1.39633,1.06161,1.52165,0.00028475,0.00028475,0.00028475
158,6551.66,1.38512,0.99547,1.4661,0.89271,0.94674,0.995,0.54453,1.39434,1.02331,1.49113,0.000278562,0.000278562,0.000278562
159,6592.73,1.45276,0.97685,1.56571,0.85452,0.96396,0.995,0.50808,1.39276,1.03375,1.5137,0.000272375,0.000272375,0.000272375
160,6633.99,1.42375,1.0673,1.4748,0.94707,0.84831,0.995,0.50618,1.41482,1.07022,1.58542,0.000266187,0.000266187,0.000266187
161,6675.4,1.44568,0.9636,1.51455,0.93987,0.83878,0.995,0.48277,1.43795,1.09973,1.64176,0.00026,0.00026,0.00026
162,6716.33,1.41863,0.96395,1.48282,0.91121,0.87159,0.995,0.46411,1.42848,1.11281,1.62538,0.000253812,0.000253812,0.000253812
163,6757.85,1.46188,0.95755,1.51416,0.84213,0.94247,0.995,0.48191,1.45832,1.09181,1.66303,0.000247625,0.000247625,0.000247625
164,6798.9,1.39304,0.944,1.46202,0.8665,1,0.995,0.46546,1.47006,1.08437,1.66836,0.000241438,0.000241438,0.000241438
165,6839.59,1.33815,1.01483,1.3888,0.79806,1,0.995,0.42787,1.49054,1.06938,1.67599,0.00023525,0.00023525,0.00023525
166,6880.88,1.40275,1.07651,1.47625,0.81411,0.99014,0.995,0.47302,1.40412,1.06608,1.56101,0.000229063,0.000229063,0.000229063
167,6921.83,1.37511,1.04702,1.48234,0.81326,0.97375,0.995,0.4843,1.37015,1.10396,1.51798,0.000222875,0.000222875,0.000222875
168,6962.94,1.44453,0.98215,1.48304,0.81154,0.96858,0.995,0.4885,1.39592,1.11613,1.54944,0.000216688,0.000216688,0.000216688
169,7004.03,1.41535,1.00268,1.48037,0.9004,0.83766,0.97417,0.42804,1.52284,1.15379,1.71383,0.0002105,0.0002105,0.0002105
170,7044.89,1.40139,0.97476,1.44995,0.92389,0.79843,0.95333,0.45138,1.56259,1.12079,1.7732,0.000204313,0.000204313,0.000204313
171,7085.78,1.4053,1.04022,1.48047,0.83227,0.88445,0.97417,0.47172,1.49587,1.08439,1.67098,0.000198125,0.000198125,0.000198125
172,7126.95,1.39932,0.99427,1.46174,0.92524,0.81989,0.97417,0.45413,1.41599,1.12864,1.61488,0.000191938,0.000191938,0.000191938
173,7168.55,1.40879,1.00973,1.46167,0.90983,0.84401,0.97417,0.45907,1.36398,1.13615,1.53965,0.00018575,0.00018575,0.00018575
174,7209.23,1.34814,1.05996,1.46134,0.86885,0.89016,0.97417,0.46752,1.36543,1.12374,1.55633,0.000179563,0.000179563,0.000179563
175,7250.44,1.41353,1.00686,1.44068,0.90076,0.90181,0.9825,0.4536,1.40737,1.12853,1.57372,0.000173375,0.000173375,0.000173375
176,7291.55,1.40198,0.93397,1.45287,0.78254,1,0.995,0.48138,1.41562,1.09361,1.57148,0.000167188,0.000167188,0.000167188
177,7333.14,1.41526,1.06997,1.52203,0.88726,1,0.995,0.47107,1.4167,1.08002,1.59781,0.000161,0.000161,0.000161
178,7374.5,1.31794,1.02115,1.37745,0.88976,1,0.995,0.48986,1.40467,1.07616,1.56114,0.000154812,0.000154812,0.000154812
179,7415.45,1.43405,1.05734,1.47528,0.9048,1,0.995,0.49924,1.403,1.04607,1.49023,0.000148625,0.000148625,0.000148625
180,7456.58,1.44111,0.98758,1.50058,0.91026,1,0.995,0.47982,1.41225,1.04654,1.50544,0.000142437,0.000142437,0.000142437
181,7497.51,1.31479,0.97865,1.37471,0.90932,0.98549,0.995,0.46824,1.45728,1.03869,1.55208,0.00013625,0.00013625,0.00013625
182,7538.83,1.29592,0.9624,1.37674,0.82513,0.96579,0.995,0.45967,1.4891,1.05922,1.59889,0.000130062,0.000130062,0.000130062
183,7580.14,1.41997,0.98067,1.47709,0.82598,0.96286,0.995,0.42151,1.49789,1.07608,1.60608,0.000123875,0.000123875,0.000123875
184,7621.43,1.41518,1.03127,1.48988,0.81575,0.96674,0.995,0.41929,1.52035,1.09924,1.64364,0.000117687,0.000117687,0.000117687
185,7662.48,1.3907,0.97122,1.47282,0.80937,0.97436,0.995,0.44049,1.53524,1.09753,1.68079,0.0001115,0.0001115,0.0001115
